04.18.;lt;Girmantė Eitvilas Apolonijus
04.18.;ee;Valdek Valdeko Valdemar Valdo Valdu Valdur Valmar Valmer Voldemar Volli Volmer
04.19.;lv;Vēsma Fanija
04.19.;lt;Laisvūnas Laisvūnė Eirimas Leonas Aistė Simonas Leontina
04.19.;ee;Aalike Aleksandra Alli Allo Andra Sandra
04.20.;lv;Mirta Ziedīte Meija
04.20.;lt;Gostautas Eisvydė Marcijonas Agnė
04.20.;ee;Orvi Urbe Urva Urve Urvi
04.21.;lv;Marģers Anastasija
04.21.;lt;Arijus Konradas Milgedas Skalvė Amalija Anzelmas
04.21.;ee;Aimar Aimer Aimo Aimur
04.22.;lv;Armands Armanda
04.22.;lt;Leonas Norvaidė Kajus Leonidas Vadimas Visgailas
04.22.;ee;Meeri Meri Merike Merje
04.23.;lv;Jurģis Juris Georgs Jurgita
04.23.;lt;Jurgita Jurga Vygailė Adalbertas Jurgis Daugaudas
04.23.;ee;Georg Jürgen Jürgo Jüri Jürjo Jürnas Jüts Ürjo
04.24.;lv;Visvaldis Nameda Ritvaldis Ritums
04.24.;lt;Fidelis Ervina Gražvyda Kantrimas
04.24.;ee;Aada Iida Vaida Vanda
04.25.;lv;Līksma Bārbala
04.25.;lt;Žadmantė Morkus Tolmantas Žavinta
04.25.;ee;Marek Margo Margus Mark Marko Markus
04.26.;lv;Alīna Sandris Rūsiņš
04.26.;lt;Gailenis Dargailė Klaudijus Vilūnė
04.26.;ee;Eesi Reesi Teesi Teisi Tereese
04.27.;lv;Tāle Raimonda Raina Klementīne
04.27.;lt;Zita Anastazas Gotautas Edilija Žydrė Aušra
04.27.;ee;Haldi Haldja Halja
04.28.;lv;Gundega Terēze
04.28.;lt;Vygandas Vygantas Rimgailė Vitalius Prudencijus Valerija
04.28.;ee;Lagle Luige
04.29.;lv;Vilnis Raimonds Laine
04.29.;lt;Rita Indrė Kotryna Tarmantas Augustinas
04.29.;ee;Kalmer Kalmo
04.30.;lv;Lilija Liāna
04.30.;lt;Venta Virbutas Sofija Marijonas Pijus
04.30.;ee;Miia Mirja Mirjam Mirje
05.01.;lv;Ziedonis
05.01.;lt;Juozapas Zigmantas Žilvinas Vydmantė Anelė Zigmas
05.01.;ee;Valba Valbe Valli Volber
05.02.;lv;Zigmunds Sigmunds Zigismunds
05.02.;lt;Meilutė Meilė Eidmantas Atanazas
05.02.;ee;Maaja Mai Maia Maie Maiu
05.03.;lv;Gints Uvis
05.03.;lt;Kantvydė Arvystas Pilypas Juvenalis Jokūbas Aleksandras
05.03.;ee;Endel Endo
05.04.;lv;Vizbulīte Viola Vijolīte
05.04.;lt;Vitalija Monika Mintautė Antanina Florijonas Dargailas
05.04.;ee;Roosi Rosalie Saale Saali Sale
05.05.;lv;Ģirts Ģederts
05.05.;lt;Anielius Angelas Pijus Neris Barvydas Mykolas Irena
05.05.;ee;Loit Loomet
05.06.;lv;Gaidis Didzis
05.06.;lt;Benė Liucijus Eidmantė Minvydas Judita Benedikta
05.06.;ee;Aasa Aase Asse
05.07.;lv;Henriete Henrijs Jete Enriko
05.07.;lt;Domicelė Rimutė Butautas Domicijonas Danutė Stanislovas
05.07.;ee;Helma Helme Helmeles Helmi
05.08.;lv;Staņislavs Staņislava Stefānija
05.08.;lt;Stanislovas Viktoras Stasys Džiugas Audrė Mykolas
05.08.;ee;Timmo Timmu Timo
05.09.;lv;Klāvs Einārs Ervīns
05.09.;lt;Beatas Grigalius Austėja Mingailas Edita
05.09.;ee;Kahru Ott Otto
05.10.;lv;Maija Paija
05.10.;lt;Putinas Viktorina Antoninas Sangailė
05.10.;ee;Aina Aini Ainike Aino Ainu
05.11.;lv;Milda Karmena Manfreds
05.11.;lt;Mamertas Skirgaudas Miglė Pilypas
05.11.;ee;Leevo Liivar Liivo
05.12.;lv;Valija Ināra Ina Inārs
05.12.;lt;Nerijus Nerys Achilas Vaidutis Nerėjas Vilgailė
05.12.;ee;Rünno Tapper Võitur Vootele
05.13.;lv;Irēna Irīna Ira Iraīda
05.13.;lt;Alvydė Milda Tautmilas
05.13.;ee;Õie Õile Õili Õilme
05.14.;lv;Krišjānis Elfa Aivita Elvita
05.14.;lt;Gintarė Motiejus Gintaras Vilda Bonifacas
05.14.;ee;Edith Eede Eedit
05.15.;lv;Sofija Taiga Airita Arita
05.15.;lt;Jaunutė Algedas Sofija Zofija Izidorius
05.15.;ee;Sofia Viia Viiu
05.16.;lv;Edvīns Edijs
05.16.;lt;Andrius Ubaldas Andriejus Bitė Vaidmantas
05.16.;ee;Esta Este Ester Esti
05.17.;lv;Herberts Dailis Umberts
05.17.;lt;Bazilė Paskalis Virkantas Gailė
05.17.;ee;Taido Taidur Taimar Taimo Taivo
05.18.;lv;Inese Inesis Ēriks
05.18.;lt;Venancijus Erikas Erdvilas Julita Rytė
05.18.;ee;Eeri Eerik Eero Ergi Ergo Erich Erik Erki Erko
05.19.;lv;Lita Sibilla Teika
05.19.;lt;Celestinas Gilvinas Tauras
05.19.;ee;Emilie Emma Miili Milja Milla Milli
05.20.;lv;Venta Salvis Selva
05.20.;lt;Vygintė Bernardinas Eidvilas Akvilas Alfreda
05.20.;ee;Liili Liilia Lilian Lilja Lille Lilli
05.21.;lv;Ernestīne Ingmārs Akvelīna
05.21.;lt;Vaidivutis Vydmina Aldas Vaidevutis Teobaldas Valentas
05.21.;ee;Kindel Konstantin Kostel Tiino
05.22.;lv;Emīlija
05.22.;lt;Elena Julija Julė Rita Eimantas Aldona
05.22.;ee;Leivo Oliver
05.23.;lv;Leontīne Leokādija Lonija Ligija
05.23.;lt;Gertautas Tautvydė Ivona Žydrūnas Žydrūnė
05.23.;ee;Lii Liidi Liidia Ly Lydia
05.24.;lv;Ilvija Marlēna Ziedone
05.24.;lt;Žana Joana Gina Gerardas Žaneta Vilmantas Vincentas
05.24.;ee;Alar Alari Allar Aller
05.25.;lv;Anšlavs Junora
05.25.;lt;Magdalena Almantas Evelina Danutė Urbonas Bedas
05.25.;ee;Urban Urbo Urve Urves
05.26.;lv;Edvards Edvarts Eduards Varis
05.26.;lt;Algimantas Milvydė Vilhelmina Eduardas Pilypas
05.26.;ee;Miina Minna Valme Valmi Vella Velli Vilma Vilme
05.27.;lv;Dzidra Gunita Loreta Dzidris
05.27.;lt;Augustinas Žymantė Genadijus Virgaudas Brunonas Leonora
05.27.;ee;Kalvi Klaudia
05.28.;lv;Vilis Vilhelms
